2026-09-03T20:04:37.539Z,winkado,battle-gen9championsvgc2026regmb-2675158115,zanfler1,1066,0,Oranguru+Sinistcha+Camerupt+Torkoal,Golurk+Farigiraf+Delphox+Sneasler+Whimsicott+Milotic
2026-09-03T20:06:26.818Z,winkado,battle-gen9championsvgc2026regmb-2675157680,axelcyc,1000,0,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Basculegion+Dragapult+Farigiraf+Sylveon+Venusaur
2026-09-03T20:07:40.523Z,winkado,battle-gen9championsvgc2026regmb-2675159679,Smizzo,1067,1,Oranguru+Avalugg+Camerupt+Torkoal,Polteageist+Heliolisk+Altaria+Salazzle+Pelipper+Farigiraf
2026-09-03T20:08:22.577Z,winkado,battle-gen9championsvgc2026regmb-2675159539,mamvaza,1088,1,Oranguru+Avalugg+Camerupt+Torkoal,Froslass+Weavile+Avalugg+Mamoswine+Ninetales-Alola+Beartic
2026-09-03T20:11:01.841Z,winkado,battle-gen9championsvgc2026regmb-2675160613,hgfhjkl,1061,1,Oranguru+Avalugg+Camerupt+Torkoal,Gholdengo+Hydreigon+Talonflame+Mimikyu+Tyranitar+Goodra-Hisui
2026-09-03T20:11:39.510Z,winkado,battle-gen9championsvgc2026regmb-2675161568,cojuridico,1204,0,Oranguru+Avalugg+Camerupt+Torkoal,Delphox+Weavile+Ninetales-Alola+Basculegion+Farigiraf+Gallade
2026-09-03T20:12:12.479Z,winkado,battle-gen9championsvgc2026regmb-2675161206,Mr. Lucky13,1146,0,Oranguru+Avalugg+Camerupt+Torkoal,Sceptile+Corviknight+Whimsicott+Garchomp+Jolteon+Basculegion
2026-09-03T20:13:00.636Z,winkado,battle-gen9championsvgc2026regmb-2675162830,Charuzu_0,1153,1,Oranguru+Avalugg+Camerupt+Torkoal,Raichu+Ninetales-Alola+Beartic+Sinistcha+Aerodactyl+Delphox
2026-09-03T20:13:24.071Z,winkado,battle-gen9championsvgc2026regmb-2675163127,gabimarufanclub,1124,0,Oranguru+Avalugg+Camerupt+Torkoal,Dragapult+Swampert+Pelipper+Tsareena+Kingambit+Sylveon
2026-09-03T20:14:31.878Z,winkado,battle-gen9championsvgc2026regmb-2675163406,ARTHURDOCE,1149,1,Oranguru+Sinistcha+Camerupt+Torkoal,Feraligatr+Sneasler+Blaziken+Ninetales-Alola+Clefable+Kingambit
2026-09-03T20:15:15.687Z,winkado,battle-gen9championsvgc2026regmb-2675164002,ArchangelJuicy,1086,0,Oranguru+Avalugg+Camerupt+Torkoal,Stunfisk+Gyarados+Sinistcha-Masterpiece+Farigiraf+Ninetales-Alola+Gardevoir
2026-09-03T20:17:01.874Z,winkado,battle-gen9championsvgc2026regmb-2675164537,quaxlywasruined,1208,0,Oranguru+Sinistcha+Camerupt+Torkoal,Dragonite+Ninetales-Alola+Sneasler+Swampert+Gengar+Incineroar
2026-09-03T20:17:02.297Z,winkado,battle-gen9championsvgc2026regmb-2675163801,miwabeast,1209,0,Oranguru+Sinistcha+Camerupt+Torkoal,Toxapex+Hippowdon+Weavile+Tyranitar+Sableye+Farigiraf
2026-09-03T20:17:34.261Z,winkado,battle-gen9championsvgc2026regmb-2675164874,overlord777,1002,1,Oranguru+Avalugg+Camerupt+Torkoal,Raichu+Maushold+Tsareena+Volcarona+Espathra+Kommo-o
2026-09-03T20:20:33.737Z,winkado,battle-gen9championsvgc2026regmb-2675165746,Ekfk,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Incineroar+Gengar+Politoed+Staraptor+Archaludon+Whimsicott
2026-09-03T20:20:38.863Z,winkado,battle-gen9championsvgc2026regmb-2675165728,Montevius,1163,0,Oranguru+Avalugg+Camerupt+Torkoal,Feraligatr+Sinistcha+Talonflame+Mamoswine+Rotom-Heat+Lucario
2026-09-03T20:22:22.403Z,winkado,battle-gen9championsvgc2026regmb-2675166046,gstarany,1072,1,Oranguru+Sinistcha+Camerupt+Torkoal,Medicham+Whimsicott+Incineroar+Kingambit+Farigiraf+Garchomp
2026-09-03T20:22:26.097Z,winkado,battle-gen9championsvgc2026regmb-2675167444,SilverDE,1139,1,Oranguru+Avalugg+Camerupt+Torkoal,Metagross+Whimsicott+Kommo-o+Kingambit+Kleavor+Annihilape
2026-09-03T20:23:11.266Z,winkado,battle-gen9championsvgc2026regmb-2675168294,mv2.p,1175,1,Oranguru+Sinistcha+Camerupt+Torkoal,Torkoal+Farigiraf+Camerupt+Oranguru+Drampa+Incineroar
2026-09-03T20:24:26.299Z,winkado,battle-gen9championsvgc2026regmb-2675167382,Janecklyn,1031,1,Oranguru+Avalugg+Camerupt+Torkoal,Farigiraf+Tyranitar+Armarouge+Scizor+Swampert+Sylveon
2026-09-03T20:25:02.595Z,winkado,battle-gen9championsvgc2026regmb-2675168258,DJ-MIL,1156,0,Oranguru+Sinistcha+Camerupt+Torkoal,Scovillain+Basculegion+Kingambit+Sneasler+Lycanroc-Dusk+Froslass
2026-09-03T20:25:27.166Z,winkado,battle-gen9championsvgc2026regmb-2675168652,SwaggySwablu,1115,0,Oranguru+Avalugg+Camerupt+Torkoal,Blaziken+Primarina+Torkoal+Kingambit+Venusaur+Farigiraf
2026-09-03T20:26:27.453Z,winkado,battle-gen9championsvgc2026regmb-2675169502,ragglefraggle42,1229,1,Oranguru+Sinistcha+Camerupt+Torkoal,Raichu+Overqwil+Klefki+Scovillain+Sableye+Blaziken
2026-09-03T20:28:01.964Z,winkado,battle-gen9championsvgc2026regmb-2675169707,pandyzan,1032,1,Oranguru+Avalugg+Camerupt+Torkoal,Lucario+Whimsicott+Pelipper+Basculegion+Garchomp+Dragapult
