2026-09-03T21:23:51.692Z,winkado,battle-gen9championsvgc2026regmb-2675195014,Greedy Guts,1159,0,Oranguru+Sinistcha+Camerupt+Torkoal,Glalie+Swampert+Ninetales-Alola+Aerodactyl+Sneasler+Kingambit
2026-09-03T21:25:26.738Z,winkado,battle-gen9championsvgc2026regmb-2675196865,FellowIntello,1053,1,Oranguru+Avalugg+Camerupt+Torkoal,Pelipper+Scizor+Tyranitar+Garchomp+Corviknight+Jolteon
2026-09-03T21:26:17.839Z,winkado,battle-gen9championsvgc2026regmb-2675196681,poki090,1015,0,Oranguru+Avalugg+Camerupt+Torkoal,Heliolisk+Toxicroak+Empoleon+Pelipper+Vaporeon+Araquanid
2026-09-03T21:26:33.158Z,winkado,battle-gen9championsvgc2026regmb-2675196851,griffyguy,1229,1,Oranguru+Avalugg+Camerupt+Torkoal,Banette+Hatterene+Emboar+Weavile+Farigiraf+Maushold
2026-09-03T21:27:22.887Z,winkado,battle-gen9championsvgc2026regmb-2675197552,PVPlover,1081,1,Oranguru+Sinistcha+Camerupt+Torkoal,Pyroar+Floette-Eternal+Farigiraf+Sneasler+Garchomp+Kingambit
2026-09-03T21:29:45.489Z,winkado,battle-gen9championsvgc2026regmb-2675198024-7gayyeih9swns529p8l3ry373vqhbijpw,Biffins,1032,1,Oranguru+Sinistcha+Camerupt+Torkoal,Diggersby+Vivillon-Ocean+Espathra+Manectric+Alakazam+Meowscarada
2026-09-03T21:30:29.858Z,winkado,battle-gen9championsvgc2026regmb-2675197886,leo_overside,1076,0,Oranguru+Sinistcha+Camerupt+Torkoal,Eelektross+Whimsicott+Samurott-Hisui+Incineroar+Metagross+Garchomp
2026-09-03T21:30:41.749Z,winkado,battle-gen9championsvgc2026regmb-2675198356,Gerard8901,1085,0,Oranguru+Avalugg+Camerupt+Torkoal,Garchomp+Kommo-o+Sinistcha+Mawile+Armarouge+Milotic
2026-09-03T21:32:09.569Z,winkado,battle-gen9championsvgc2026regmb-2675199443,masked rider kiva,1252,0,Oranguru+Sinistcha+Camerupt+Torkoal,Aerodactyl+Garchomp+Tyranitar+Farigiraf+Aegislash+Kangaskhan
2026-09-03T21:32:50.991Z,winkado,battle-gen9championsvgc2026regmb-2675199853,Greedy Guts,1162,1,Oranguru+Sinistcha+Camerupt+Torkoal,Glalie+Swampert+Ninetales-Alola+Aerodactyl+Sneasler+Kingambit
2026-09-03T21:33:48.451Z,winkado,battle-gen9championsvgc2026regmb-2675200448,Amy Pyre,1151,1,Oranguru+Sinistcha+Camerupt+Torkoal,Froslass+Scovillain+Lycanroc-Dusk+Basculegion+Kingambit+Sneasler
2026-09-03T21:34:18.324Z,winkado,battle-gen9championsvgc2026regmb-2675199817,Sorch_awc,1196,0,Oranguru+Avalugg+Camerupt+Torkoal,Tyranitar+Farigiraf+Torkoal+Sylveon+Basculegion+Sinistcha
2026-09-03T21:35:29.851Z,winkado,battle-gen9championsvgc2026regmb-2675201370-d38ykcynltmxw1tlji6lwpgo8swufpvpw,luxeher,1218,1,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Whimsicott+Kingambit+Basculegion+Garchomp+Glimmora
2026-09-03T21:35:44.518Z,winkado,battle-gen9championsvgc2026regmb-2675200752,Jaxenam,1103,1,Oranguru+Avalugg+Camerupt+Torkoal,Falinks+Hawlucha+Blaziken+Basculegion+Goodra-Hisui+Overqwil
2026-09-03T21:37:07.968Z,winkado,battle-gen9championsvgc2026regmb-2675201906,DAWat2529,1246,1,Oranguru+Avalugg+Camerupt+Torkoal,Eelektross+Talonflame+Garchomp+Tsareena+Tyranitar+Excadrill
2026-09-03T21:38:30.108Z,winkado,battle-gen9championsvgc2026regmb-2675202020,jirwin,1195,1,Oranguru+Sinistcha+Camerupt+Torkoal,Dragalge+Staraptor+Golurk+Incineroar+Sinistcha-Masterpiece+Drampa
2026-09-03T21:39:19.191Z,winkado,battle-gen9championsvgc2026regmb-2675202617-vkukkelp3boflqaaq57gs7f5td2gglcpw,matt220798,1260,1,Oranguru+Avalugg+Camerupt+Torkoal,Farigiraf+Arcanine-Hisui+Sylveon+Staraptor+Raichu+Kingambit
2026-09-03T21:39:25.390Z,winkado,battle-gen9championsvgc2026regmb-2675201185,ttars,1205,0,Oranguru+Sinistcha+Camerupt+Torkoal,Charizard+Garchomp+Scrafty+Sinistcha+Toxapex+Kingambit
2026-09-03T21:42:31.362Z,winkado,battle-gen9championsvgc2026regmb-2675203189,UrrLukk,1181,0,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Whimsicott+Garchomp+Floette-Eternal+Basculegion+Kingambit
2026-09-03T21:43:00.865Z,winkado,battle-gen9championsvgc2026regmb-2675203539,Tenjay,1294,0,Oranguru+Avalugg+Camerupt+Torkoal,Gengar+Politoed+Archaludon+Swampert+Sinistcha+Annihilape
2026-09-03T21:43:31.495Z,winkado,battle-gen9championsvgc2026regmb-2675203589,eliseu7789,1135,1,Oranguru+Sinistcha+Camerupt+Torkoal,Metagross+Farigiraf+Incineroar+Mawile+Sylveon+Torkoal
2026-09-03T21:44:45.077Z,winkado,battle-gen9championsvgc2026regmb-2675205327,zack 2,1181,1,Oranguru+Sinistcha+Camerupt+Torkoal,Bellibolt+Grimmsnarl+Charizard+Pelipper+Swampert+Sinistcha-Masterpiece
2026-09-03T21:46:16.798Z,winkado,battle-gen9championsvgc2026regmb-2675204876,koa1014,1129,1,Oranguru+Sinistcha+Camerupt+Torkoal,Incineroar+Clefable+Gengar+Sableye+Politoed+Archaludon
2026-09-03T21:46:30.690Z,winkado,battle-gen9championsvgc2026regmb-2675205081-9x21yh0jx95c3nwh1ojyqq6h4qmhomgpw,jkjkjlj,1163,0,Oranguru+Avalugg+Camerupt+Torkoal,Golurk+Farigiraf+Torkoal+Aerodactyl+Raichu+Malamar
2026-09-03T21:50:13.523Z,winkado,battle-gen9championsvgc2026regmb-2675206593,srglass,1165,0,Oranguru+Sinistcha+Camerupt+Torkoal,Espathra+Sneasler+Archaludon+Politoed+Scovillain+Dragonite
2026-09-03T21:50:32.522Z,winkado,battle-gen9championsvgc2026regmb-2675206618,daviredsky,1193,0,Oranguru+Avalugg+Camerupt+Torkoal,Annihilape+Whimsicott+Hydreigon+Metagross+Raichu+Milotic
2026-09-03T21:54:05.430Z,winkado,battle-gen9championsvgc2026regmb-2675208352,tecgiant,1168,0,Oranguru+Avalugg+Camerupt+Torkoal,Pyroar+Torkoal+Farigiraf+Vileplume+Swampert+Barbaracle
2026-09-03T23:22:43.597Z,winkado,battle-gen9championsvgc2026regmb-2675245163,fakeocean,1019,0,Oranguru+Avalugg+Camerupt+Torkoal,Charizard+Garchomp+Basculegion+Whimsicott+Kingambit+Floette-Eternal
2026-09-03T23:24:07.739Z,winkado,battle-gen9championsvgc2026regmb-2675245181,tabuuuuuu,1034,1,Oranguru+Sinistcha+Camerupt+Torkoal,Mawile+Maushold+Runerigus+Sinistcha+Farigiraf+Incineroar
2026-09-03T23:26:01.589Z,winkado,battle-gen9championsvgc2026regmb-2675245204,Jmoto,1019,0,Oranguru+Sinistcha+Camerupt+Torkoal,Charizard+Aerodactyl+Garchomp+Kingambit+Sylveon+Incineroar
2026-09-03T23:26:18.322Z,winkado,battle-gen9championsvgc2026regmb-2675246826,HospitalityCheck,1100,1,Oranguru+Sinistcha+Camerupt+Torkoal,Metagross+Incineroar+Sinistcha+Whimsicott+Garchomp+Kingambit
2026-09-03T23:28:54.097Z,winkado,battle-gen9championsvgc2026regmb-2675247026-aqlkos53eok6ulct66kxn2qu5ayk7jupw,colinniloc13,1143,1,Oranguru+Sinistcha+Camerupt+Torkoal,Archaludon+Pelipper+Grimmsnarl+Mawile+Scovillain+Farigiraf
2026-09-03T23:30:20.230Z,winkado,battle-gen9championsvgc2026regmb-2675246992,Jerry124354,1000,1,Oranguru+Avalugg+Camerupt+Torkoal,Starmie+Dragapult+Ditto+Maushold+Quaquaval+Sinistcha-Masterpiece
2026-09-03T23:30:45.339Z,winkado,battle-gen9championsvgc2026regmb-2675247013,Ckoqee,1045,0,Oranguru+Sinistcha+Camerupt+Torkoal,Garchomp+Charizard+Whimsicott+Archaludon+Sneasler+Basculegion
2026-09-03T23:32:13.191Z,winkado,battle-gen9championsvgc2026regmb-2675248684,jflksjfls,1025,0,Oranguru+Sinistcha+Camerupt+Torkoal,Mawile+Aerodactyl+Mamoswine+Charizard+Kommo-o+Sneasler
2026-09-03T23:32:43.152Z,winkado,battle-gen9championsvgc2026regmb-2675248679-fr27i5tqbst7btmi87dowsukyoru16hpw,HitchandBoes,1072,0,Oranguru+Sinistcha+Camerupt+Torkoal,Beedrill+Farigiraf+Garchomp+Incineroar+Kingambit+Raichu
2026-09-03T23:33:23.833Z,winkado,battle-gen9championsvgc2026regmb-2675248669,iezick,1000,1,Oranguru+Sinistcha+Camerupt+Torkoal,Sinistcha+Incineroar+Froslass+Gengar+Pelipper+Archaludon
2026-09-03T23:38:21.923Z,winkado,battle-gen9championsvgc2026regmb-2675249681,Zoeybear,1000,0,Oranguru+Avalugg+Camerupt+Torkoal,Toxapex+Sinistcha+Aggron+Milotic+Eelektross+Pelipper
2026-09-03T23:39:48.172Z,winkado,battle-gen9championsvgc2026regmb-2675251590,UnovAgenda,1017,0,Oranguru+Avalugg+Camerupt+Torkoal,Basculegion+Kingambit+Samurott-Hisui+Whimsicott+Froslass+Alakazam
2026-09-03T23:43:45.083Z,winkado,battle-gen9championsvgc2026regmb-2675252124,GeekNaut,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Dragapult+Gardevoir+Greninja+Incineroar+Garchomp+Aegislash
2026-09-03T23:44:06.596Z,winkado,battle-gen9championsvgc2026regmb-2675252139-gyo7qcva9jvwd8xj3j6149biy0pe1t8pw,ccolombo00,1014,0,Oranguru+Sinistcha+Camerupt+Torkoal,Basculegion+Pelipper+Sneasler+Incineroar+Swampert+Sinistcha
2026-09-03T23:46:31.173Z,winkado,battle-gen9championsvgc2026regmb-2675252151,intercharismatic,1000,1,Oranguru+Avalugg+Camerupt+Torkoal,Aromatisse+Banette+Torkoal+Vanilluxe+Machamp+Snorlax
2026-09-03T23:49:45.348Z,winkado,battle-gen9championsvgc2026regmb-2675254767-kth4leyjnt75amjontilte99c7vx85vpw,AAoiyama,1128,1,Oranguru+Sinistcha+Camerupt+Torkoal,Steelix+Tyranitar+Sinistcha+Rotom-Wash+Sneasler+Talonflame
2026-09-03T23:50:52.076Z,winkado,battle-gen9championsvgc2026regmb-2675254757,omygosh11,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Whimsicott+Gyarados+Sneasler+Dragapult+Gholdengo+Farigiraf
2026-09-03T23:52:31.732Z,winkado,battle-gen9championsvgc2026regmb-2675256366,StinkyTroglodyte,1028,0,Oranguru+Avalugg+Camerupt+Torkoal,Lucario+Kleavor+Farigiraf+Whimsicott+Raichu+Samurott-Hisui
2026-09-03T23:54:59.182Z,winkado,battle-gen9championsvgc2026regmb-2675257059,taekwonjoe,1062,0,Oranguru+Avalugg+Camerupt+Torkoal,Whimsicott+Milotic+Garchomp+Tyranitar+Delphox+Dragonite
2026-09-03T23:56:22.117Z,winkado,battle-gen9championsvgc2026regmb-2675257044,Nyktos2,1060,0,Oranguru+Sinistcha+Camerupt+Torkoal,Mawile+Incineroar+Sinistcha+Swampert+Pelipper+Kommo-o
2026-09-04T00:00:11.429Z,winkado,battle-gen9championsvgc2026regmb-2675258561,krakencoldones,1000,0,Oranguru+Sinistcha+Camerupt+Torkoal,Runerigus+Medicham+Torkoal+Mawile+Gyarados+Incineroar
2026-09-04T00:00:14.572Z,winkado,battle-gen9championsvgc2026regmb-2675258544,beware262005,1005,0,Oranguru+Sinistcha+Camerupt+Torkoal,Charizard+Basculegion+Whimsicott+Pelipper+Archaludon+Grimmsnarl
2026-09-04T00:04:15.199Z,winkado,battle-gen9championsvgc2026regmb-2675260039,lukinhas13,1066,1,Oranguru+Sinistcha+Camerupt+Torkoal,Dragapult+Sneasler+Luxray+Basculegion+Whimsicott+Charizard
2026-09-04T00:04:30.391Z,winkado,battle-gen9championsvgc2026regmb-2675260023,Mkiaz,1050,0,Oranguru+Sinistcha+Camerupt+Torkoal,Meganium+Maushold-Four+Toxapex+Tyranitar+Incineroar+Grimmsnarl
2026-09-04T00:07:29.575Z,winkado,battle-gen9championsvgc2026regmb-2675261610,chonkichu,1005,1,Oranguru+Avalugg+Camerupt+Torkoal,Politoed+Dragonite+Meowstic+Gardevoir+Flareon+Tauros-Paldea-Combat
2026-09-04T00:07:39.563Z,winkado,battle-gen9championsvgc2026regmb-2675261652,deviousdonut,1136,1,Oranguru+Avalugg+Camerupt+Torkoal,Gholdengo+Staraptor+Tyranitar+Farigiraf+Whimsicott+Excadrill
2026-09-04T00:07:47.314Z,winkado,battle-gen9championsvgc2026regmb-2675261633-9wlvgatyhsl9vtkyj7qw9v73sy6o5hdpw,jdosownsbsh,1000,1,Oranguru+Sinistcha+Camerupt+Torkoal,Sylveon+Garchomp+Charizard+Incineroar+Aerodactyl+Kingambit
2026-09-04T00:09:40.905Z,winkado,battle-gen9championsvgc2026regmb-2675262971,adritornillosvgc,1117,0,Oranguru+Sinistcha+Camerupt+Torkoal,Froslass+Basculegion+Sneasler+Metagross+Incineroar+Aerodactyl
2026-09-04T00:13:28.456Z,winkado,battle-gen9championsvgc2026regmb-2675263671,BingusVGC,1000,1,Oranguru+Avalugg+Camerupt+Torkoal,Farigiraf+Heracross+Kingambit+Staraptor+Whimsicott+Slowking-Galar
2026-09-04T00:15:42.470Z,winkado,battle-gen9championsvgc2026regmb-2675265113,Tickz,1168,0,Oranguru+Sinistcha+Camerupt+Torkoal,Tyranitar+Excadrill+Gholdengo+Milotic+Sinistcha-Masterpiece+Incineroar
2026-09-04T00:17:14.514Z,winkado,battle-gen9championsvgc2026regmb-2675265122,roizin,1106,0,Oranguru+Avalugg+Camerupt+Torkoal,Crabominable+Slowking-Galar+Malamar+Armarouge+Farigiraf+Basculegion
2026-09-04T00:19:35.895Z,winkado,battle-gen9championsvgc2026regmb-2675265143,SamiRain,1032,0,Oranguru+Sinistcha+Camerupt+Torkoal,Raichu+Froslass+Sneasler+Basculegion+Arcanine-Hisui+Grimmsnarl
2026-09-04T00:26:36.263Z,winkado,battle-gen9championsvgc2026regmb-2675268582-13nfgldd8lchrqnymrd8271jf1yu8jnpw,divancie,1135,0,Oranguru+Avalugg+Torkoal+Ampharos,Kingambit+Milotic+Ninetales-Alola+Metagross+Annihilape+Wyrdeer,team_chal_1788481321881.json
2026-09-04T00:34:49.477Z,winkado,battle-gen9championsvgc2026regmb-2675273558-8vprttvadd737qk6c2rq2hl9bciv8khpw,Showder,1000,1,Oranguru+Sinistcha+Torkoal+Ampharos,Gyarados+Farigiraf+Sinistcha-Masterpiece+Garchomp+Metagross+Sneasler,team_trickroom_v8.json
2026-09-04T00:38:12.498Z,winkado,battle-gen9championsvgc2026regmb-2675273627,Akwam,1000,0,Oranguru+Sinistcha+Torkoal+Ampharos,Gengar+Luxray+Kleavor+Orthworm+Aurorus+Grimmsnarl,team_trickroom_v8.json
2026-09-04T00:38:26.436Z,winkado,battle-gen9championsvgc2026regmb-2675273608,gundham tinuk,1075,0,Oranguru+Sinistcha+Torkoal+Ampharos,Aerodactyl+Kingambit+Sylveon+Garchomp+Sinistcha+Incineroar,team_chal_1788482082984.json
2026-09-04T00:43:06.515Z,winkado,battle-gen9championsvgc2026regmb-2675275028,M4sterkarma,1101,0,Oranguru+Avalugg+Torkoal+Ampharos,Basculegion+Kingambit+Floette-Eternal+Whimsicott+Farigiraf+Camerupt,team_chal_1788482082984.json
2026-09-04T00:48:55.698Z,winkado,battle-gen9championsvgc2026regmb-2675276834,Itzbhh,1000,0,Oranguru+Sinistcha+Torkoal+Ampharos,Sneasler+Tyranitar+Excadrill+Sinistcha+Annihilape+Abomasnow,team_chal_1788482082984.json
2026-09-04T00:49:26.148Z,winkado,battle-gen9championsvgc2026regmb-2675279178,HospitalityCheck,1079,0,Oranguru+Sinistcha+Torkoal+Ampharos,Metagross+Incineroar+Sinistcha+Whimsicott+Garchomp+Kingambit,team_chal_1788482082984.json
2026-09-04T00:51:58.336Z,winkado,battle-gen9championsvgc2026regmb-2675279337,gundham tinuk,1059,0,Oranguru+Avalugg+Torkoal+Ampharos,Tyranitar+Excadrill+Milotic+Sinistcha+Staraptor+Gholdengo,team_chal_1788482082984.json
2026-09-04T00:54:13.408Z,winkado,battle-gen9championsvgc2026regmb-2675280271-5xh01fk736wy59s2oneflym5g5ec07tpw,Dnnsjndndnndd,1000,0,Oranguru+Avalugg+Torkoal+Ampharos,Raichu+Farigiraf+Aerodactyl+Torkoal+Garchomp+Primarina,team_chal_1788482082984.json
2026-09-04T00:56:38.446Z,winkado,battle-gen9championsvgc2026regmb-2675281078,ruddtjjdtktkdt,1060,1,Oranguru+Avalugg+Torkoal+Ampharos,Infernape+Sceptile+Zoroark-Hisui+Scizor+Rotom-Wash+Klefki,team_chal_1788482082984.json
2026-09-04T00:56:58.495Z,winkado,battle-gen9championsvgc2026regmb-2675281957,HospitalityCheck,1087,1,Oranguru+Sinistcha+Torkoal+Ampharos,Metagross+Incineroar+Sinistcha+Whimsicott+Garchomp+Kingambit,team_chal_1788482082984.json
2026-09-04T00:59:43.382Z,winkado,battle-gen9championsvgc2026regmb-2675282100,thepoop213,1076,0,Oranguru+Avalugg+Torkoal+Ampharos,Dragapult+Lucario+Alakazam+Vivillon+Arcanine-Hisui+Primarina,team_chal_1788482082984.json
2026-09-04T01:01:56.519Z,winkado,battle-gen9championsvgc2026regmb-2675283212,BiCyn,1000,1,Oranguru+Avalugg+Torkoal+Ampharos,Glalie+Hawlucha+Noivern+Mudsdale+Oranguru+Liepard,team_chal_1788482082984.json
2026-09-04T01:03:06.966Z,winkado,battle-gen9championsvgc2026regmb-2675283229-s7pfqdojumb52qmyybjn2enhxqixvmopw,muchachi_munyanyo,1032,0,Oranguru+Sinistcha+Torkoal+Ampharos,Garchomp+Sneasler+Orthworm+Greninja+Sinistcha+Zoroark-Hisui,team_trickroom_v8.json
2026-09-04T01:06:25.216Z,winkado,battle-gen9championsvgc2026regmb-2675284459,adamskorch,1044,0,Oranguru+Avalugg+Torkoal+Ampharos,Staraptor+Garchomp+Whimsicott+Delphox+Glimmora+Kingambit,team_chal_1788482082984.json
2026-09-04T01:06:47.469Z,winkado,battle-gen9championsvgc2026regmb-2675285744,HospitalityCheck,1013,0,Oranguru+Sinistcha+Torkoal+Ampharos,Metagross+Incineroar+Sinistcha+Whimsicott+Garchomp+Kingambit,team_chal_1788482082984.json
2026-09-04T01:10:17.085Z,winkado,battle-gen9championsvgc2026regmb-2675285759-vadjyq3ojuwfrow6pgkg9b9edyt46iapw,nachito z,1000,0,Oranguru+Sinistcha+Torkoal+Ampharos,Glimmora+Scovillain+Toxapex+Sinistcha+Umbreon+Incineroar,team_trickroom_v8.json
2026-09-04T01:12:45.535Z,winkado,battle-gen9championsvgc2026regmb-2675287177,Gkeksjavxvf,1000,0,Oranguru+Avalugg+Torkoal+Ampharos,Houndoom+Torkoal+Farigiraf+Sylveon+Garchomp+Basculegion,team_chal_1788482082984.json
2026-09-04T01:13:14.205Z,winkado,battle-gen9championsvgc2026regmb-2675287192-bglvl1gc6hr1nwgn5wog4wfjxx4d3vkpw,MegaIncineroarX,1000,0,Oranguru+Sinistcha+Torkoal+Ampharos,Sylveon+Kingambit+Incineroar+Aerodactyl+Garchomp+Charizard,team_trickroom_v8.json
2026-09-04T01:16:28.308Z,winkado,battle-gen9championsvgc2026regmb-2675288351,PakaShin519,1019,1,Oranguru+Sinistcha+Torkoal+Ampharos,Greninja+Scrafty+Talonflame+Infernape+Sceptile+Krookodile,team_chal_1788482082984.json
2026-09-04T01:16:48.987Z,winkado,battle-gen9championsvgc2026regmb-2675288368,theadonia,1006,0,Oranguru+Avalugg+Torkoal+Ampharos,Staraptor+Serperior+Whimsicott+Jolteon+Talonflame+Milotic,team_trickroom_v8.json
2026-09-04T01:19:28.011Z,winkado,battle-gen9championsvgc2026regmb-2675289739,Smizzo,1045,1,Oranguru+Avalugg+Torkoal+Ampharos,Archaludon+Salazzle+Meowstic-F+Tsareena+Pelipper+Scolipede,team_trickroom_v8.json
2026-09-04T01:19:46.342Z,winkado,battle-gen9championsvgc2026regmb-2675289725,dontcarejustplay,1104,0,Oranguru+Avalugg+Torkoal+Ampharos,Milotic+Maushold-Four+Raichu+Gallade+Weavile+Gholdengo,team_chal_1788482082984.json
2026-09-04T01:23:34.066Z,winkado,battle-gen9championsvgc2026regmb-2675290922-eg0e84h6m43jtjkj4jy5kqxl4d3gutjpw,EmperorX516,1035,0,Oranguru+Avalugg+Torkoal+Ampharos,Tyranitar+Excadrill+Garchomp+Corviknight+Kingambit+Whimsicott,team_chal_1788482082984.json
2026-09-04T01:27:13.957Z,winkado,battle-gen9championsvgc2026regmb-2675292327,pichaco,1067,1,Oranguru+Avalugg+Torkoal+Ampharos,Charizard+Garchomp+Whimsicott+Kingambit+Basculegion+Sinistcha,team_chal_1788482082984.json
2026-09-04T01:30:13.690Z,winkado,battle-gen9championsvgc2026regmb-2675292344,oscarmachacador,1101,0,Oranguru+Sinistcha+Torkoal+Ampharos,Ampharos+Archaludon+Pelipper+Sneasler+Kleavor+Sinistcha,team_trickroom_v8.json
2026-09-04T01:32:57.341Z,winkado,battle-gen9championsvgc2026regmb-2675294927-1t4ftgedcg44uw2vhurw198hg5cl2jjpw,jnvjewvn,1008,1,Oranguru+Avalugg+Torkoal+Ampharos,Gallade+Talonflame+Mawile+Feraligatr+Farigiraf+Torkoal,team_trickroom_v8.json
2026-09-04T01:36:01.406Z,winkado,battle-gen9championsvgc2026regmb-2675294909-aialephti4lbr8rtx4aksc4ge9pcw4upw,protobaX,1122,0,Oranguru+Sinistcha+Torkoal+Ampharos,Morpeko+Charizard+Milotic+Sneasler+Whimsicott+Kingambit,team_chal_1788482082984.json
